"No.","Time","Source","Destination","Protocol","Length","Info"
"110864","2013-02-27 03:33:09.538989","192.168.1.225","8.8.8.8","DNS","70","Standard query 0x503f A brfone.com"
"111738","2013-02-27 03:33:09.862948","192.168.1.226","8.8.8.8","DNS","74","Standard query 0x5f89 A newpages2u.com"
"112209","2013-02-27 03:33:10.015141","192.168.1.227","8.8.8.8","DNS","77","Standard query 0x100e A bigjournalism.com"
"118782","2013-02-27 03:33:11.919172","192.168.1.228","8.8.8.8","DNS","74","Standard query 0x43c0 A congsoxanh.com"
"134624","2013-02-27 03:33:17.073344","192.168.1.229","8.8.8.8","DNS","73","Standard query 0xd5af A visualtap.com"
"134673","2013-02-27 03:33:17.093352","192.168.1.230","8.8.8.8","DNS","77","Standard query 0x44ae A oberoncompany.com"
"135627","2013-02-27 03:33:17.493408","192.168.1.231","8.8.8.8","DNS","80","Standard query 0x1b77 A consejodentistas.org"
"144016","2013-02-27 03:33:19.891838","192.168.1.232","8.8.8.8","DNS","68","Standard query 0xe3d5 A k-dsl.de"
"158805","2013-02-27 03:33:25.448104","192.168.1.233","8.8.8.8","DNS","67","Standard query 0x5047 A asip.es"
"159099","2013-02-27 03:33:25.563519","192.168.1.234","8.8.8.8","DNS","72","Standard query 0x3f43 A androgyn.org"
"167372","2013-02-27 03:33:28.895139","192.168.1.235","8.8.8.8","DNS","76","Standard query 0x018f A panaceadream.com"
"175605","2013-02-27 03:33:31.881089","192.168.1.236","8.8.8.8","DNS","68","Standard query 0xbfd6 A hotel.ch"
"182594","2013-02-27 03:33:35.093033","192.168.1.237","8.8.8.8","DNS","72","Standard query 0x8662 A c3budiman.tk"
"184283","2013-02-27 03:33:35.997711","192.168.1.238","8.8.8.8","DNS","71","Standard query 0x0b29 A obtscan.com"
"207095","2013-02-27 03:33:44.951818","192.168.1.239","8.8.8.8","DNS","76","Standard query 0x647f A phoenix-music.ru"
"207654","2013-02-27 03:33:45.185879","192.168.1.240","8.8.8.8","DNS","70","Standard query 0xd047 A motiie.com"
"213172","2013-02-27 03:33:48.048433","fe80::9186:dbbd:2a45:50c2","ff02::1:3","LLMNR","84","Standard query 0xd4c1 A wpad"
"213174","2013-02-27 03:33:48.048715","172.16.133.87","224.0.0.252","LLMNR","64","Standard query 0xd4c1 A wpad"
"213334","2013-02-27 03:33:48.149111","fe80::9186:dbbd:2a45:50c2","ff02::1:3","LLMNR","84","Standard query 0xd4c1 A wpad"
"213335","2013-02-27 03:33:48.149188","172.16.133.87","224.0.0.252","LLMNR","64","Standard query 0xd4c1 A wpad"
"213427","2013-02-27 03:33:48.192434","fe80::dc32:9062:d777:796c","ff02::1:3","LLMNR","86","Standard query 0x893d A isilon"
"213428","2013-02-27 03:33:48.192694","172.16.133.40","224.0.0.252","LLMNR","66","Standard query 0x893d A isilon"
"213620","2013-02-27 03:33:48.292074","fe80::dc32:9062:d777:796c","ff02::1:3","LLMNR","86","Standard query 0x893d A isilon"
"213621","2013-02-27 03:33:48.292133","172.16.133.40","224.0.0.252","LLMNR","66","Standard query 0x893d A isilon"
"215949","2013-02-27 03:33:49.252660","192.168.1.241","8.8.8.8","DNS","75","Standard query 0x014f A cncdesign.co.kr"
"254829","2013-02-27 03:34:02.138941","192.168.1.242","8.8.8.8","DNS","70","Standard query 0x9a41 A udoo24.com"
"255038","2013-02-27 03:34:02.210519","192.168.1.243","8.8.8.8","DNS","77","Standard query 0x54e6 A ljyelectronic.com"
"271578","2013-02-27 03:34:07.358251","192.168.1.244","8.8.8.8","DNS","66","Standard query 0x0951 A bek.ir"
"286999","2013-02-27 03:34:12.566813","192.168.1.245","8.8.8.8","DNS","81","Standard query 0x1ce7 A valerievandenbroek.nl"
"288426","2013-02-27 03:34:13.331319","192.168.1.246","8.8.8.8","DNS","79","Standard query 0xe87d A lacuentaperdida.org"
"295180","2013-02-27 03:34:16.798487","192.168.1.247","8.8.8.8","DNS","79","Standard query 0x7435 A alkoholiker-clan.de"
"303992","2013-02-27 03:34:21.123530","192.168.1.248","8.8.8.8","DNS","73","Standard query 0x5ed8 A doommovie.com"
"320436","2013-02-27 03:34:26.111485","192.168.1.249","8.8.8.8","DNS","70","Standard query 0xede3 A xqgcab.com"
"328674","2013-02-27 03:34:28.649420","192.168.1.250","8.8.8.8","DNS","69","Standard query 0xe77a A uanet.net"
"335309","2013-02-27 03:34:30.498413","192.168.1.251","8.8.8.8","DNS","83","Standard query 0x7a7a A tomorrowsreflection.com"
"342832","2013-02-27 03:34:33.337420","192.168.1.252","8.8.8.8","DNS","73","Standard query 0xa90e A lighthouse.cc"
"344129","2013-02-27 03:34:33.900849","192.168.1.253","8.8.8.8","DNS","70","Standard query 0x2549 A 7sports.jp"
"344708","2013-02-27 03:34:34.070926","192.168.1.254","8.8.8.8","DNS","74","Standard query 0x2e4d A gamepsvita.com"
"351797","2013-02-27 03:34:36.036212","192.168.1.1","8.8.8.8","DNS","73","Standard query 0xd11c A thunderex.com"
"352499","2013-02-27 03:34:36.203273","192.168.1.2","8.8.8.8","DNS","72","Standard query 0xa6f7 A zamlelova.ru"
"359403","2013-02-27 03:34:38.012521","192.168.1.3","8.8.8.8","DNS","74","Standard query 0xdfe0 A atomicbase.com"
"359416","2013-02-27 03:34:38.013976","192.168.1.4","8.8.8.8","DNS","70","Standard query 0xe13b A qdushu.com"
"360086","2013-02-27 03:34:38.183382","192.168.1.5","8.8.8.8","DNS","72","Standard query 0x93e4 A raqualia.com"
"375825","2013-02-27 03:34:43.568007","192.168.1.10","8.8.8.8","DNS","68","Standard query 0xa027 A fanzi.pl"
"382810","2013-02-27 03:34:45.838472","192.168.1.11","8.8.8.8","DNS","74","Standard query 0xb58c A womenology.com"
"383587","2013-02-27 03:34:46.180201","192.168.1.12","8.8.8.8","DNS","70","Standard query 0xe158 A tonaci.com"
"391612","2013-02-27 03:34:48.694112","192.168.1.13","8.8.8.8","DNS","76","Standard query 0x4d34 A youngsnetwork.it"
"400722","2013-02-27 03:34:52.645031","192.168.1.14","8.8.8.8","DNS","74","Standard query 0x8981 A gvowebcast.com"
"402907","2013-02-27 03:34:53.432644","fe80::2481:749b:fc6c:2786","ff02::1:3","LLMNR","86","Standard query 0x7bf5 A isatap"
"402910","2013-02-27 03:34:53.432899","172.16.133.37","224.0.0.252","LLMNR","66","Standard query 0x7bf5 A isatap"
"403081","2013-02-27 03:34:53.533356","fe80::2481:749b:fc6c:2786","ff02::1:3","LLMNR","86","Standard query 0x7bf5 A isatap"
"403082","2013-02-27 03:34:53.533358","172.16.133.37","224.0.0.252","LLMNR","66","Standard query 0x7bf5 A isatap"
"407718","2013-02-27 03:34:55.369986","192.168.1.15","8.8.8.8","DNS","77","Standard query 0x6386 A aspiringwriter.ca"
"424844","2013-02-27 03:35:00.605261","192.168.1.16","8.8.8.8","DNS","70","Standard query 0xe6d5 A heygal.net"
"431924","2013-02-27 03:35:02.011365","192.168.1.17","8.8.8.8","DNS","71","Standard query 0x6057 A mpskota.com"
"434290","2013-02-27 03:35:02.587723","fe80::4933:ed:eba9:2b34","ff02::1:3","LLMNR","84","Standard query 0xc981 A wpad"
"434293","2013-02-27 03:35:02.587955","172.16.133.11","224.0.0.252","LLMNR","64","Standard query 0xc981 A wpad"
"434596","2013-02-27 03:35:02.687264","fe80::4933:ed:eba9:2b34","ff02::1:3","LLMNR","84","Standard query 0xc981 A wpad"
"434597","2013-02-27 03:35:02.687266","172.16.133.11","224.0.0.252","LLMNR","64","Standard query 0xc981 A wpad"
"439750","2013-02-27 03:35:03.741287","192.168.1.18","8.8.8.8","DNS","71","Standard query 0xcb74 A ohdev.co.uk"
"447297","2013-02-27 03:35:06.281489","192.168.1.19","8.8.8.8","DNS","76","Standard query 0xd707 A topilehtipuu.com"
"455594","2013-02-27 03:35:08.840738","192.168.1.20","8.8.8.8","DNS","75","Standard query 0xbcf8 A thereeftank.com"
"462995","2013-02-27 03:35:11.530578","192.168.1.21","8.8.8.8","DNS","83","Standard query 0x9ffa A volksschule-neufahrn.de"
"464098","2013-02-27 03:35:11.955293","192.168.1.22","8.8.8.8","DNS","79","Standard query 0x925c A qingjiaopidaiji.com"
"471957","2013-02-27 03:35:15.620217","192.168.1.23","8.8.8.8","DNS","69","Standard query 0xfbe6 A jcwcn.com"
"480386","2013-02-27 03:35:18.794752","192.168.1.24","8.8.8.8","DNS","71","Standard query 0xd98f A huhgmbh.com"
"487921","2013-02-27 03:35:21.270269","192.168.1.25","8.8.8.8","DNS","75","Standard query 0x9987 A redcrosseth.org"
"503510","2013-02-27 03:35:28.254283","192.168.1.26","8.8.8.8","DNS","72","Standard query 0xe7fe A lookpage.org"
"504117","2013-02-27 03:35:28.489960","192.168.1.27","8.8.8.8","DNS","68","Standard query 0x1577 A mplus.hk"
"504531","2013-02-27 03:35:28.626267","192.168.1.28","8.8.8.8","DNS","77","Standard query 0xb023 A sandieskorner.com"
"512295","2013-02-27 03:35:30.980031","192.168.1.29","8.8.8.8","DNS","76","Standard query 0x197d A sinemagrafik.com"
"520026","2013-02-27 03:35:34.425538","192.168.1.30","8.8.8.8","DNS","72","Standard query 0x164b A itattoos.org"
"531060","2013-02-27 03:35:39.256750","fe80::2481:749b:fc6c:2786","ff02::1:3","LLMNR","84","Standard query 0x2231 A wpad"
"531062","2013-02-27 03:35:39.258179","fe80::2481:749b:fc6c:2786","ff02::1:3","LLMNR","84","Standard query 0x84b6 A wpad"
"531063","2013-02-27 03:35:39.258181","172.16.133.37","224.0.0.252","LLMNR","64","Standard query 0x84b6 A wpad"
"531064","2013-02-27 03:35:39.258182","172.16.133.37","224.0.0.252","LLMNR","64","Standard query 0x2231 A wpad"
"531319","2013-02-27 03:35:39.356276","fe80::2481:749b:fc6c:2786","ff02::1:3","LLMNR","84","Standard query 0x84b6 A wpad"
"531320","2013-02-27 03:35:39.356277","172.16.133.37","224.0.0.252","LLMNR","64","Standard query 0x84b6 A wpad"
"531355","2013-02-27 03:35:39.367774","fe80::2481:749b:fc6c:2786","ff02::1:3","LLMNR","84","Standard query 0x2231 A wpad"
"531356","2013-02-27 03:35:39.367776","172.16.133.37","224.0.0.252","LLMNR","64","Standard query 0x2231 A wpad"
"536036","2013-02-27 03:35:41.535681","192.168.1.31","8.8.8.8","DNS","78","Standard query 0x7d38 A lgmonitorreview.nl"
"552317","2013-02-27 03:35:49.032787","192.168.1.32","8.8.8.8","DNS","67","Standard query 0xa8cc A sscw.ee"
"559514","2013-02-27 03:35:52.538056","192.168.1.33","8.8.8.8","DNS","69","Standard query 0xa841 A nucre.com"
"559564","2013-02-27 03:35:52.581842","192.168.1.34","8.8.8.8","DNS","73","Standard query 0x2893 A cornesoft.com"
"606822","2013-02-27 03:36:14.577221","fe80::9801:c382:f46:e074","ff02::1:3","LLMNR","86","Standard query 0x20a3 A isatap"
"606879","2013-02-27 03:36:14.600503","172.16.133.72","224.0.0.252","LLMNR","66","Standard query 0x20a3 A isatap"
"607152","2013-02-27 03:36:14.697515","fe80::9801:c382:f46:e074","ff02::1:3","LLMNR","86","Standard query 0x20a3 A isatap"
"607156","2013-02-27 03:36:14.698172","172.16.133.72","224.0.0.252","LLMNR","66","Standard query 0x20a3 A isatap"
"607349","2013-02-27 03:36:14.895521","192.168.1.35","8.8.8.8","DNS","76","Standard query 0xa6a8 A mattselznick.com"
"609181","2013-02-27 03:36:16.003695","192.168.1.36","8.8.8.8","DNS","79","Standard query 0x5ed2 A horn-elektronik.com"
"617134","2013-02-27 03:36:19.979198","192.168.1.37","8.8.8.8","DNS","70","Standard query 0xc86c A rousing.dk"
"624438","2013-02-27 03:36:22.245414","192.168.1.38","8.8.8.8","DNS","66","Standard query 0xd6bc A i12.de"
"632387","2013-02-27 03:36:26.266400","192.168.1.39","8.8.8.8","DNS","69","Standard query 0x3df2 A casco.com"
"639515","2013-02-27 03:36:30.166512","192.168.1.40","8.8.8.8","DNS","80","Standard query 0xb585 A ambassadorsspfhf.org"
"649855","2013-02-27 03:36:34.456974","fe80::7991:b5a4:81ea:fe57","ff02::1:3","LLMNR","84","Standard query 0x9d6e A wpad"
"649856","2013-02-27 03:36:34.457217","172.16.133.53","224.0.0.252","LLMNR","64","Standard query 0x9d6e A wpad"
"650003","2013-02-27 03:36:34.557313","fe80::7991:b5a4:81ea:fe57","ff02::1:3","LLMNR","84","Standard query 0x9d6e A wpad"
"650004","2013-02-27 03:36:34.557389","172.16.133.53","224.0.0.252","LLMNR","64","Standard query 0x9d6e A wpad"
"656551","2013-02-27 03:36:38.026171","192.168.1.41","8.8.8.8","DNS","71","Standard query 0xa6b8 A capella.edu"
"663485","2013-02-27 03:36:42.189950","fe80::4933:ed:eba9:2b34","ff02::1:3","LLMNR","84","Standard query 0x620c A wpad"
"663486","2013-02-27 03:36:42.190192","172.16.133.11","224.0.0.252","LLMNR","64","Standard query 0x620c A wpad"
"663655","2013-02-27 03:36:42.290266","fe80::4933:ed:eba9:2b34","ff02::1:3","LLMNR","84","Standard query 0x620c A wpad"
"663656","2013-02-27 03:36:42.290268","172.16.133.11","224.0.0.252","LLMNR","64","Standard query 0x620c A wpad"
"671625","2013-02-27 03:36:45.119630","fe80::4933:ed:eba9:2b34","ff02::1:3","LLMNR","84","Standard query 0xa8c8 A wpad"
"671627","2013-02-27 03:36:45.119869","172.16.133.11","224.0.0.252","LLMNR","64","Standard query 0xa8c8 A wpad"
"671891","2013-02-27 03:36:45.219324","fe80::4933:ed:eba9:2b34","ff02::1:3","LLMNR","84","Standard query 0xa8c8 A wpad"
"671892","2013-02-27 03:36:45.219326","172.16.133.11","224.0.0.252","LLMNR","64","Standard query 0xa8c8 A wpad"
"672531","2013-02-27 03:36:45.474704","192.168.1.42","8.8.8.8","DNS","71","Standard query 0x72fa A nipslab.org"
"672547","2013-02-27 03:36:45.476703","192.168.1.43","8.8.8.8","DNS","72","Standard query 0xbfce A webxtrap.com"
"680406","2013-02-27 03:36:48.325954","192.168.1.44","8.8.8.8","DNS","81","Standard query 0x4195 A stopallthathating.com"
"681081","2013-02-27 03:36:48.499407","192.168.1.45","8.8.8.8","DNS","69","Standard query 0x54b8 A ovtoc.com"
"696416","2013-02-27 03:36:54.984886","192.168.1.46","8.8.8.8","DNS","67","Standard query 0xb80e A vaco.ru"
"696902","2013-02-27 03:36:55.113002","192.168.1.47","8.8.8.8","DNS","66","Standard query 0x0c0a A ku.edu"
"703749","2013-02-27 03:36:58.200958","192.168.1.48","8.8.8.8","DNS","71","Standard query 0x5dbd A amedeos.net"
"735716","2013-02-27 03:37:12.246789","192.168.1.49","8.8.8.8","DNS","79","Standard query 0x4a21 A thankfullyyours.com"
"744155","2013-02-27 03:37:15.208008","192.168.1.50","8.8.8.8","DNS","74","Standard query 0x8aa7 A elettronix.com"
"744377","2013-02-27 03:37:15.259742","192.168.1.51","8.8.8.8","DNS","78","Standard query 0x2d79 A meintrendyhandy.de"
"745050","2013-02-27 03:37:15.467045","192.168.1.52","8.8.8.8","DNS","70","Standard query 0x3331 A a-loud.com"
"752051","2013-02-27 03:37:17.539767","192.168.1.53","8.8.8.8","DNS","70","Standard query 0xc8db A hznzcn.com"
"761317","2013-02-27 03:37:20.804269","192.168.1.54","8.8.8.8","DNS","69","Standard query 0x9856 A zilch.org"
"775613","2013-02-27 03:37:26.083732","192.168.1.55","8.8.8.8","DNS","72","Standard query 0x68cb A metabans.com"
"776707","2013-02-27 03:37:26.508256","192.168.1.56","8.8.8.8","DNS","74","Standard query 0x99ed A tretsomshop.nl"
"784536","2013-02-27 03:37:29.970122","192.168.1.57","8.8.8.8","DNS","74","Standard query 0x4b9f A gba4iosapp.com"
"788605","2013-02-27 03:37:31.886719","fe80::860:9298:729d:46d7","ff02::1:3","LLMNR","84","Standard query 0x01f7 A wpad"
"788608","2013-02-27 03:37:31.886920","172.16.133.75","224.0.0.252","LLMNR","64","Standard query 0x01f7 A wpad"
"788858","2013-02-27 03:37:31.986694","fe80::860:9298:729d:46d7","ff02::1:3","LLMNR","84","Standard query 0x01f7 A wpad"
"788859","2013-02-27 03:37:31.986767","172.16.133.75","224.0.0.252","LLMNR","64","Standard query 0x01f7 A wpad"
